1,411.31978726387024
2,217.40644216537476
3,212.0303339958191
4,199.43621397018433
5,218.18203926086426
6,204.74274325370789
7,200.03024888038635
8,290.8312816619873
9,249.36821937561035
10,224.8012924194336
11,212.27899289131165
12,211.64151883125305
13,237.132958650589
14,229.51493549346924
15,236.20877170562744
16,244.43231868743896
17,234.65789532661438
18,241.8356053829193
19,203.8529360294342
20,276.28925490379333
21,259.1226849555969
22,211.25371742248535
23,212.718341588974
24,212.0063979625702
25,219.07801580429077
